#1.2													
20812	12												
Name	Description	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Polyp_1	Polyp_2	Polyp_3	Polyp_4	Polyp_5	Polyp_6
ABCE1	na	8.231461727	7.959814863	7.645737817	4.65461466	8.639093569	6.531767839	6.957581556	6.802206778	6.847141739	6.450417402	7.743671124	7.900595146
ABCF1	na	4.219748306	4.137813165	4.617540926	3.069652159	2.6978829	2.008205883	5.346855959	6.220026718	4.943001754	4.483584266	3.585241762	5.346793577
ABCF2	na	5.188039447	5.578385756	5.795878167	3.069652159	3.434848495	6.256133397	5.26668561	5.414755111	5.239983492	5.111615489	5.635867835	4.453708781
ABCF3	na	4.219748306	4.500383244	4.276504008	5.391580254	4.051519855	6.095668725	4.529720016	6.362827319	4.20603616	5.547714604	5.301448796	5.7338167
ABCG1	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	2.944757515	-1.214601509	2.621073659	1.024152648	0.77788684	0.061391358
ABCG2	na	6.815127423	7.002883585	5.984323256	3.069652159	6.06711671	2.008205883	5.865323048	4.513318945	5.099120956	6.233606013	6.135438844	2.383319453
ABCG4	na	1.281148851	4.137813165	1.954575913	4.65461466	2.335312821	6.400523306	0.137402593	1.955323492	1.398681238	1.024152648	0.77788684	2.383319453
ABCG5	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ABCG8	na	3.155617969	1.330458243	0.369613412	3.069652159	-0.472042101	3.593168384	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ABHD1	na	4.219748306	1.330458243	1.954575913	4.65461466	1.1129204	4.330133978	0.137402593	1.592753413	-0.186281263	1.024152648	3.099814934	3.520822977
ABHD10	na	5.999967098	1.330458243	4.457076253	3.069652159	5.142667743	3.593168384	4.224865435	3.540285993	2.135646832	3.346080743	2.36284934	3.761831076
ABHD11	na	-0.30381365	1.330458243	3.176968334	3.069652159	1.1129204	4.330133978	2.944757515	3.177715913	3.901181578	4.194077649	2.36284934	4.453708781
ABHD12	na	4.905639716	2.915420743	4.761930835	3.069652159	4.737411265	2.008205883	3.837842311	4.762678414	5.646608751	2.609115148	4.478326558	4.148854199
ABHD12B	na	-0.30381365	1.330458243	3.176968334	3.069652159	-0.472042101	2.008205883	0.137402593	0.370360991	-0.186281263	3.83150757	0.77788684	0.061391358
ABHD13	na	3.783649191	3.652386338	4.07005313	3.069652159	5.410600948	2.008205883	3.307327595	1.955323492	3.901181578	3.83150757	0.77788684	2.383319453
ABHD14A	na	3.396626068	4.789889861	3.176968334	3.069652159	2.335312821	2.008205883	4.385330107	3.177715913	2.983643738	3.83150757	2.36284934	3.520822977
ABHD14B	na	5.188039447	4.137813165	5.323809722	3.069652159	3.775885412	3.593168384	5.091598904	5.355254099	6.321513377	3.83150757	4.237318458	4.919372353
ABHD15	na	3.396626068	2.915420743	5.655015631	3.069652159	-0.472042101	2.008205883	2.459330688	4.762678414	5.646608751	4.194077649	3.099814934	5.944034407
ABHD16A	na	3.396626068	4.500383244	5.414007531	3.069652159	3.775885412	4.330133978	4.224865435	4.566758204	5.486144079	4.724592366	3.099814934	4.81627886
ABHD16B	na	2.018114445	1.330458243	1.954575913	4.65461466	-0.472042101	4.815560805	0.137402593	2.244830109	-0.186281263	4.194077649	4.684777435	2.86874628
ABHD2	na	3.603076946	7.213101292	5.861466508	3.069652159	3.61542074	2.008205883	6.203491784	6.33229295	7.8851811	6.805512361	5.301448796	6.747891885
ABHD3	na	3.155617969	2.915420743	4.893175368	3.069652159	4.482154209	2.008205883	3.837842311	3.42925468	3.901181578	2.609115148	4.478326558	2.383319453
ABHD4	na	2.018114445	4.789889861	3.829045031	3.069652159	3.434848495	3.593168384	3.307327595	4.566758204	4.06164625	3.83150757	2.36284934	4.584953314
ABHD5	na	4.554167345	4.500383244	4.893175368	3.069652159	5.019810995	2.008205883	5.26668561	4.400108335	5.83608655	3.346080743	3.947811841	4.584953314
ABHD6	na	4.74058047	2.915420743	2.691541507	3.069652159	2.6978829	2.008205883	3.596834212	3.82979261	4.767915047	4.483584266	5.170204262	4.81627886
ABHD8	na	-0.30381365	1.330458243	2.691541507	3.069652159	-0.472042101	2.008205883	2.459330688	2.692289086	2.135646832	1.024152648	0.77788684	2.86874628
ABI1	na	5.718554163	5.974314432	6.559437971	3.069652159	5.550325712	2.008205883	5.346855959	5.985070835	7.126601692	5.77904015	4.684777435	5.418943363
ABI2	na	3.944113864	4.789889861	4.893175368	3.069652159	2.987389518	2.008205883	5.494954598	5.014217181	5.023172103	6.153435665	3.585241762	3.968281954
ABI3	na	-0.30381365	2.915420743	2.691541507	3.069652159	1.1129204	2.008205883	5.691991445	4.93514561	3.720609333	4.483584266	2.36284934	0.061391358
ABI3BP	na	9.495467972	7.307738166	5.013469602	3.069652159	8.015797933	3.593168384	7.989151635	8.105070611	7.248346965	8.390474862	7.40724346	7.479243873
ABL1	na	4.554167345	4.500383244	5.013469602	3.069652159	5.970901395	4.330133978	5.091598904	5.904339563	6.256662233	6.153435665	5.170204262	5.105785477
ABL2	na	5.718554163	5.237348838	4.07005313	3.069652159	5.756776589	2.008205883	3.307327595	6.53359134	4.457574927	5.272080161	6.559246553	6.401241361
ABLIM1	na	5.368611692	5.578385756	4.893175368	3.069652159	4.737411265	2.008205883	5.865323048	6.53359134	5.428428581	6.381704652	3.585241762	5.61598021
ABLIM2	na	-0.30381365	4.137813165	0.369613412	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ABLIM3	na	-0.30381365	2.915420743	0.369613412	3.069652159	1.1129204	3.593168384	2.459330688	2.485838209	4.06164625	1.024152648	0.77788684	1.646353859
ABO	na	-0.30381365	1.330458243	1.954575913	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	4.337280693	3.83150757	0.77788684	0.061391358
ABP1	na	-0.30381365	1.330458243	0.369613412	3.069652159	-0.472042101	2.008205883	2.944757515	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ABR	na	-0.30381365	1.330458243	0.369613412	3.069652159	1.849885994	2.008205883	2.944757515	2.485838209	1.398681238	1.024152648	0.77788684	0.061391358
ABRA	na	-0.30381365	1.330458243	0.369613412	3.069652159	1.849885994	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ABT1	na	3.783649191	3.652386338	5.124500914	3.069652159	4.885509904	5.708645601	4.385330107	4.457823833	4.943001754	5.111615489	3.947811841	5.992128696
ABTB1	na	4.554167345	5.974314432	4.07005313	3.069652159	4.051519855	6.095668725	4.995383588	6.362827319	4.858112856	6.954889985	6.392596684	6.083759171
ABTB2	na	1.281148851	2.915420743	1.954575913	3.069652159	1.849885994	2.008205883	3.837842311	4.513318945	2.621073659	1.024152648	3.099814934	5.105785477
ACAA1	na	3.603076946	5.578385756	5.323809722	3.069652159	4.657240916	4.330133978	3.596834212	4.893922947	5.023172103	2.609115148	4.684777435	6.569185998
ACAA2	na	5.368611692	5.030897961	2.691541507	3.069652159	4.051519855	6.531767839	6.645197234	4.339987342	3.720609333	2.609115148	5.025814353	4.148854199
ACACA	na	3.155617969	2.915420743	3.176968334	3.069652159	3.434848495	2.008205883	3.837842311	4.277251587	5.239983492	2.609115148	2.36284934	2.86874628
ACACB	na	4.650382661	3.652386338	3.539538414	3.069652159	4.385938894	3.593168384	4.995383588	5.985070835	5.099120956	5.41647007	5.170204262	3.520822977
ACAD10	na	3.396626068	1.330458243	3.539538414	5.391580254	1.1129204	3.593168384	2.944757515	2.872861332	3.514158455	4.483584266	3.099814934	2.383319453
ACAD8	na	4.650382661	4.500383244	4.761930835	3.069652159	4.482154209	2.008205883	3.837842311	4.211663245	4.457574927	4.483584266	3.099814934	4.81627886
ACAD9	na	4.34004254	6.822311339	3.176968334	3.069652159	5.200383241	3.593168384	4.385330107	5.194789427	4.06164625	4.931043243	4.865349681	5.61598021
